Area Code;City
0212;İstanbul (Avrupa Yakasi)
0216;İstanbul (Anadolu Yakasi)
0222;Eskişehir
0224;Bursa
0226;Yalova
0228;Bilecik
0232;İzmir
0236;Manisa
0242;Antalya
0246;Isparta
0248;Burdur
0252;Muğla
0256;Aydin
0258;Denizli
0262;Kocaeli
0264;Sakarya
0266;Balikesir
0272;Afyon
0274;Kütahya
0276;Uşak
0282;Tekirdağ
0284;Edirne
0286;Çanakkale
0288;Kirklareli
0312;Ankara
0318;Kirikkale
0322;Adana
0324;İçel (Mersin)
0326;Hatay
0328;Osmaniye
0332;Konya
0338;Karaman
0342;Gaziantep
0344;K.Maraş
0346;Sivas
0348;Kilis
0352;Kayseri
0354;Yozgat
0356;Tokat
0358;Amasya
0362;Samsun
0364;Çorum
0366;Kastamonu
0368;Sinop
0370;Karabük
0372;Zonguldak
0374;Bolu
0376;Çankiri
0378;Bartin
0380;Düzce
0382;Aksaray
0384;Nevşehir
0386;Kirşehir
0388;Niğde
0392;K.Kibris Türk Cumhuriyeti
0412;Diyarbakir
0414;Şanliurfa
0416;Adiyaman
0422;Malatya
0424;Elaziğ
0426;Bingöl
0428;Tunceli
0432;Van
0434;Bitlis
0436;Muş
0438;Hakkari
0442;Erzurum
0446;Erzincan
0452;Ordu
0454;Giresun
0456;Gümüşhane
0458;Bayburt
0462;Trabzon
0464;Rize
0466;Artvin
0472;Ağri
0474;Kars
0476;Iğdir
0478;Ardahan
0482;Mardin
0484;Siirt
0486;Şirnak
0488;Batman
0505;AYCELL
0512;Çağri - 1
0522;Mobil - 1
0527;Mobil (Sesli Mesaj)
0532;TURKCELL
0533;TURKCELL
0534;TURKCELL
0535;TURKCELL
0542;TELSİM
0543;TELSİM
0544;TELSİM
0545;TELSİM
0546;TELSİM
0551;ARİA
0552;ARİA
0553;ARİA
0554;ARİA
0555;ARİA
0556;ARİA
0562;Tes uydu ve yer istasyonlari(TT)
0564;Tes uydu ve yer istasyonlari(TSK)
0592;GLOBAL STAR(GMPCS)
0594;GLOBAL STAR(GMPCS)
0596;GLOBAL STAR(GMPCS)
0800;Ücretsiz aranir telefon
0822;TTnet servis sağlayicilari
0900;Mesaj servisleri
